22.142,11.892,62.743,9.036,84.64,38.32,125.402,14.837,59.136,15.296,28.966,14.625
73.026,9.597,30.3,14.947,51.127,22.451,23.99,65.542,10.697,19.231,28.057,8.696
121.668,16.535,11.081,19.186,100.13,80.893,110.431,77.788,54.582,54.225,162.551,12.244
11.386,7.386,7.456,4.57,6.235,17.298,25.475,14.011,13.412,57.322,21.609,9.408
25.236,8.666,15.133,22.279,20.68,38.509,25.63,47.127,22.101,36.856,18.39,5.034
17.07,4.17,12.566,10.683,98.742,28.566,17.88,13.635,8.945,18.153,165.962,6.056
19.402,9.196,102.903,39.772,82.235,64.903,26.074,32.92,31.343,64.027,142.734,10.666
21.43,5.9,7.879,9.95,22.191,76.076,28.689,41.306,12.571,8.152,15.382,6.584
12.036,5.162,2.747,1.781,3.08,3.023,6.291,3.216,4.168,2.27,5.619,1.084
30.067,32.303,70.606,24.98,39.934,83.238,24.808,38.653,11.92,30.275,47.913,11.072
21.497,72.796,89.791,13.597,82.214,83.01,40.735,52.647,66.299,30.618,47.916,10.422
38.043,16.847,18.097,81.057,47.696,29.053,26.82,16.733,15.305,17.799,22.08,8.811
54.725,16.362,16.166,14.435,41.502,54.933,23.689,65.565,51.258,67.774,48.355,14.513
28.838,17.523,15.324,11.067,71.195,20.286,32.894,37.894,22.996,38.022,27.632,19.744
59.875,31.067,93.649,105.029,9.775,61.912,43.364,72.775,23.176,23.513,23.644,5.265
125.115,18.242,53.85,9.948,51.514,82.426,61.72,39.401,60.266,131.422,122.681,12.746
31.655,17.835,10.208,6.538,18.173,27.886,23.258,23.048,14.494,20.386,25.23,12.955
39.9,53.478,81.557,88.909,57.766,88.624,99.814,78.188,84.353,119.269,211.486,10.025
25.416,18.111,29.12,37.01,6.11,27.328,24.267,18.148,15.868,5.796,9.557,6.521
19.8,15.047,16.931,23.515,58.145,19.164,14.064,41.769,23.146,64.688,50.872,20.398
112.937,39.738,70.278,113.796,21.269,75.08,43.937,88.6,72.409,172.217,217.496,11.928
22.109,10.16,18.943,14.817,10.627,13.667,49.811,24.071,87.132,16.13,18.837,5.241
15.674,40.26,28.476,8.849,0,69.633,33.015,16.54,19.513,106.15,120.911,9.057
0,48.957,38.919,18.572,110.993,72.817,74.748,101.005,48.987,167.206,95.001,16.265
25.726,33.428,91.74,72.853,130.712,94.657,31.685,98.499,33.011,143.162,102.701,19.557
10.807,7.908,7.173,13.661,16.799,11.045,7.037,11.971,11.413,11.966,9.192,5.873
20.384,6.375,5.758,10.111,8.517,49.836,58.043,25.575,6.248,15.641,8.33,3.487
30.465,21.46,10.189,19.025,68.983,48.564,23.724,83.036,53.134,142.273,0,12.482
23.267,26.259,19.481,20.801,31.404,36.07,45.39,48.992,40.348,66.752,0,5.114
28.088,35,15.729,8.927,18.668,10.691,43.307,16.41,16.109,8.85,0,7.573
16.238,8.824,14.523,17.733,17.751,35.839,20.479,32.292,15.696,36.175,0,15.989
54.293,45.945,78.123,70.17,19.108,44.284,46.073,70.903,35.205,36.032,0,11.84
21.3,54.342,21.3,13.048,29.342,32.729,36.583,46.91,19.101,69.523,0,10.242
